district,month,category,unit_qty,unit_price,unit_total_cost
District 1,July,Office supplies,18,2.9000001,52.200001
District 1,July,Office supplies,12,2.6900001,32.279999
District 1,July,Office supplies,20,2.8299999,56.599998
District 1,July,Food,9,2.45,22.050001
District 1,July,Food,2,1.61,3.22
District 1,August,Mentors,2,5,10
District 1,August,Food,16,2.6600001,42.560001
District 1,August,Office supplies,3,2.27,6.8099999
District 1,August,Food,3,2.27,6.8099999
District 1,August,Food,12,1.42,17.039999
District 1,August,Food,8,.050000001,.40000001
District 1,August,Office supplies,4,2.78,11.12
District 1,August,Office supplies,10,.85000002,8.5
District 1,August,Office supplies,1,1.67,1.67
District 1,August,Food,16,2.4200001,38.720001
District 1,August,Food,11,.17,1.87
District 1,August,Food,17,.56999999,9.6899996
District 1,August,Food,7,2.98,20.860001
District 1,August,Office supplies,14,2.4200001,33.880001
District 1,August,Food,20,1.72,34.400002
District 1,August,Office supplies,2,1.99,3.98
District 1,August,Office supplies,3,1.83,5.4900002
District 1,August,Office supplies,6,2.99,17.940001
District 1,August,Office supplies,15,2.51,37.650002
District 1,August,Office supplies,19,2.21,41.990002
District 1,August,Food,11,2.73,30.030001
District 1,August,Office supplies,13,1.91,24.83
District 1,August,Food,2,.91000003,1.8200001
District 1,September,Mentors,2,5,10
District 1,September,Food,8,.49000001,3.9200001
District 1,September,Food,7,1.16,8.1199999
District 1,September,Food,2,.18000001,.36000001
District 1,September,Food,7,.69999999,4.9000001
District 1,September,Food,7,.64999998,4.5499997
District 1,September,Food,8,.029999999,.23999999
District 1,September,Food,2,2.3599999,4.7199998
District 1,September,Food,14,1.12,15.68
District 1,September,Food,10,.41,4.0999999
District 1,September,Food,19,2.46,46.740002
District 1,September,Office supplies,19,.94999999,18.049999
District 1,September,Office supplies,11,.37,4.0700002
District 1,September,Food,14,1.52,21.279999
District 1,September,Food,8,.54000002,4.3200002
District 1,September,Office supplies,6,1.8200001,10.92
District 1,October,Mentors,2,5,10
District 1,October,Office supplies,10,2.3099999,23.099998
District 1,October,Food,20,1.41,28.199999
District 1,October,Food,5,2.9000001,14.5
District 1,October,Office supplies,2,1.34,2.6800001
District 1,October,Food,19,.14,2.6600001
District 1,October,Food,2,2.29,4.5799999
District 1,October,Office supplies,11,2.0999999,23.099998
District 1,October,Office supplies,17,.17,2.8900001
District 1,October,Office supplies,6,.38,2.28
District 1,October,Food,20,.76999998,15.4
District 1,October,Office supplies,5,.31999999,1.5999999
District 1,October,Office supplies,5,2.21,11.05
District 1,October,Office supplies,19,2.98,56.619999
District 1,October,Office supplies,16,2.54,40.639999
District 1,October,Office supplies,15,2.0599999,30.9
District 1,October,Office supplies,5,1.42,7.0999999
District 1,October,Office supplies,13,.47999999,6.2399998
District 1,October,Office supplies,4,.36000001,1.4400001
District 1,October,Office supplies,18,.62,11.16
District 1,October,Food,16,1.29,20.639999
District 1,October,Office supplies,10,1.13,11.3
District 1,October,Food,13,.46000001,5.98
District 1,October,Office supplies,13,2.5799999,33.540001
District 1,October,Food,4,1.6,6.4000001
District 1,October,Office supplies,9,.30000001,2.7
District 1,October,Office supplies,2,2,4
District 1,October,Food,12,.55000001,6.6000004
District 1,October,Food,9,1.97,17.73
District 1,November,Mentors,2,5,10
District 1,November,Office supplies,4,.02,.079999998
District 1,November,Food,14,1.91,26.74
District 1,November,Food,10,1.78,17.799999
District 1,November,Office supplies,5,.95999998,4.7999997
District 1,November,Office supplies,6,2.3499999,14.099999
District 1,November,Food,19,1.26,23.940001
District 1,November,Food,14,2.9100001,40.740002
District 1,November,Office supplies,18,1.15,20.699999
District 1,November,Food,4,2.3,9.1999998
District 1,November,Office supplies,9,.02,.17999999
District 1,November,Food,4,1.02,4.0799999
District 1,November,Office supplies,1,2.1800001,2.1800001
District 1,November,Food,8,.20999999,1.6799999
District 1,November,Food,19,1.97,37.43
District 1,November,Office supplies,17,.31,5.27
District 1,November,Office supplies,20,1.46,29.200001
District 1,November,Food,20,3,60
District 1,November,Food,9,2.1800001,19.620001
District 1,November,Food,7,.93000001,6.5100002
District 1,November,Office supplies,6,1.22,7.3200002
District 1,November,Office supplies,3,2.6800001,8.04
District 1,December,Mentors,2,5,10
District 1,December,Food,16,1.4,22.4
District 1,December,Food,19,.14,2.6600001
District 1,December,Food,11,1.6,17.6
District 1,December,Food,10,.18000001,1.8000001
District 1,December,Office supplies,18,1.61,28.98
District 1,December,Food,5,2.5999999,13
District 1,December,Office supplies,6,.33000001,1.98
District 1,December,Food,4,2.3399999,9.3599997
District 1,December,Food,12,2.23,26.76
District 1,December,Food,13,.58999997,7.6699996
District 1,December,Food,13,.79000002,10.27
District 1,December,Food,20,.75,15
District 1,December,Food,14,1.79,25.059999
District 1,December,Office supplies,5,2.0699999,10.349999
District 1,December,Office supplies,19,.61000001,11.59
District 1,December,Office supplies,4,1.59,6.3600001
District 1,December,Office supplies,6,1.15,6.8999996
District 1,December,Food,7,1.83,12.81
District 10,January,Mentors,2,5,10
District 10,January,Food,14,2.0699999,28.98
District 10,January,Office supplies,6,2.74,16.440001
District 10,January,Office supplies,11,1.63,17.93
District 10,January,Food,18,.95999998,17.279999
District 10,January,Food,16,2.7,43.200001
District 10,January,Office supplies,2,1.89,3.78
District 10,January,Office supplies,7,.25,1.75
District 10,January,Food,2,1.28,2.5599999
District 10,January,Food,17,1.95,33.150002
District 10,January,Food,16,2.45,39.200001
District 10,January,Food,8,1.23,9.8400002
District 10,January,Food,4,1.02,4.0799999
District 10,January,Office supplies,1,2.4000001,2.4000001
District 10,January,Office supplies,20,.41,8.1999998
District 10,January,Office supplies,2,1.4,2.8
District 10,February,Mentors,2,5,10
District 10,February,Food,17,2.26,38.419998
District 10,February,Food,3,1.7,5.1000004
District 10,February,Food,16,2.8299999,45.279999
District 10,February,Food,18,.25,4.5
District 10,February,Food,16,1.58,25.280001
District 10,February,Office supplies,19,1.03,19.57
District 10,February,Office supplies,16,1.3,20.799999
District 10,February,Office supplies,2,1.26,2.52
District 10,February,Office supplies,1,2.99,2.99
District 10,February,Office supplies,18,2.6700001,48.060001
District 10,February,Food,2,.079999998,.16
District 10,February,Food,19,.16,3.04
District 10,February,Office supplies,18,.85000002,15.3
District 10,February,Office supplies,7,1.0599999,7.4199996
District 10,February,Food,7,2.4000001,16.800001
District 10,February,Food,3,2.28,6.8400002
District 10,February,Office supplies,4,1.71,6.8400002
District 10,February,Office supplies,13,2.4000001,31.200001
District 10,February,Office supplies,5,.07,.34999999
District 10,February,Food,12,.56,6.7200003
District 10,February,Office supplies,2,2.8900001,5.7800002
District 10,March,Mentors,2,5,10
District 10,March,Food,16,2.2,35.200001
District 10,March,Food,17,2.24,38.080002
District 10,March,Food,7,1.8,12.599999
District 10,March,Office supplies,11,2.2,24.200001
District 10,March,Office supplies,19,2.3800001,45.220001
District 10,March,Food,20,.039999999,.79999995
District 10,March,Food,18,.69999999,12.599999
District 10,March,Office supplies,5,1.42,7.0999999
District 10,March,Office supplies,17,.81999999,13.94
District 10,March,Office supplies,9,2.79,25.110001
District 10,March,Food,7,2.8499999,19.949999
District 10,March,Food,2,2.02,4.04
District 10,March,Food,12,1.0700001,12.84
District 10,March,Food,18,2.5,45
District 10,March,Food,14,2.8800001,40.32
District 10,March,Food,11,1.4299999,15.73
District 10,March,Food,2,1.26,2.52
District 10,March,Office supplies,8,1.59,12.72
District 10,March,Food,7,1.55,10.849999
District 10,March,Food,4,.079999998,.31999999
District 10,March,Food,18,1.5,27
District 10,March,Food,11,.44,4.8400002
District 10,March,Office supplies,1,2.5599999,2.5599999
District 10,March,Office supplies,5,.17,.85000002
District 10,April,Mentors,2,5,10
District 10,April,Food,11,.75999999,8.3599997
District 10,April,Food,2,.85000002,1.7
District 10,April,Food,4,1.11,4.4400001
District 10,April,Food,5,2.5999999,13
District 10,April,Food,13,2.3599999,30.679998
District 10,April,Food,4,2.0599999,8.2399998
District 10,April,Food,12,1.3,15.599999
District 10,April,Food,7,1.12,7.8400002
District 10,April,Office supplies,2,.89999998,1.8
District 10,April,Food,20,1.2,24
District 10,April,Food,10,.25999999,2.5999999
District 10,April,Food,12,.61000001,7.3200002
District 10,April,Food,11,2.9400001,32.34
District 10,May,Mentors,2,5,10
District 10,May,Office supplies,1,.72000003,.72000003
District 10,May,Food,5,2.9000001,14.5
District 10,May,Food,8,2.98,23.84
District 10,May,Office supplies,4,.31,1.24
District 10,May,Food,8,1.8,14.4
District 10,May,Food,18,.090000004,1.6200001
District 10,May,Office supplies,6,.75999999,4.5599999
District 10,May,Office supplies,5,2.7,13.5
District 10,May,Office supplies,10,1.45,14.5
District 10,May,Office supplies,13,2.27,29.51
District 10,May,Food,18,.74000001,13.32
District 10,May,Office supplies,10,2.3,23
District 10,May,Office supplies,18,2.1600001,38.880001
District 10,May,Food,16,3,48
District 10,May,Food,11,1.23,13.530001
District 10,May,Office supplies,11,2,22
District 10,May,Office supplies,6,2.78,16.68
District 10,June,Mentors,2,5,10
District 10,June,Office supplies,14,.52999997,7.4199996
District 10,June,Office supplies,3,.52999997,1.5899999
District 10,June,Food,13,1.39,18.07
District 10,June,Food,14,1.6799999,23.519999
District 10,June,Food,9,.46000001,4.1399999
District 10,June,Office supplies,19,1.77,33.630001
District 10,June,Office supplies,19,1.49,28.309999
District 10,June,Food,14,1.37,19.18
District 10,June,Office supplies,5,2.79,13.95
District 10,June,Office supplies,8,2.6300001,21.040001
District 10,June,Food,10,1.99,19.9
District 10,June,Office supplies,2,1.54,3.0799999
District 10,June,Food,5,1.9400001,9.7000008
District 10,June,Office supplies,19,2.8599999,54.339996
District 10,June,Office supplies,2,.80000001,1.6
District 10,June,Food,20,2.23,44.599998
District 10,June,Food,16,1.49,23.84
District 10,June,Food,19,.12,2.28
District 10,June,Office supplies,17,1.95,33.150002
District 10,June,Office supplies,4,2.3800001,9.5200005
District 10,June,Food,14,1.89,26.459999
District 10,June,Food,10,2.9100001,29.1
District 10,June,Office supplies,13,1.6900001,21.970001
District 10,June,Food,1,2.6700001,2.6700001
District 10,June,Office supplies,3,2.28,6.8400002
District 10,July,Mentors,2,5,10
District 10,July,Office supplies,19,2.9200001,55.480003
District 10,July,Food,4,2.4300001,9.7200003
District 10,July,Office supplies,4,.91000003,3.6400001
District 10,July,Office supplies,1,1.1,1.1
District 10,July,Food,15,1.03,15.45
District 10,July,Food,17,1.9299999,32.809998
District 10,July,Food,17,.99000001,16.83
District 10,July,Office supplies,1,1.08,1.08
District 10,July,Food,14,.52999997,7.4199996
District 10,July,Food,5,1.89,9.4499998
District 10,July,Food,4,1.6,6.4000001
District 10,July,Food,18,1.27,22.860001
District 10,July,Office supplies,18,.28999999,5.2199998
District 10,July,Food,7,1.16,8.1199999
District 10,July,Food,2,1.33,2.6600001
District 10,July,Office supplies,10,.37,3.7
District 10,July,Office supplies,19,.059999999,1.14
District 10,July,Office supplies,15,2.5799999,38.699997
District 10,July,Office supplies,17,1.4400001,24.480001
District 10,August,Mentors,2,5,10
District 10,August,Office supplies,18,.94999999,17.1
District 10,August,Office supplies,4,.029999999,.12
District 10,August,Food,16,.57999998,9.2799997
District 10,August,Office supplies,8,2.02,16.16
District 10,August,Office supplies,18,.19,3.4200001
District 10,August,Office supplies,1,2.95,2.95
District 10,August,Food,20,1.3200001,26.400002
District 10,August,Food,2,1.91,3.8199999
District 10,August,Office supplies,16,2.6400001,42.240002
District 10,August,Food,17,.50999999,8.6700001
District 10,August,Food,8,1.92,15.36
District 10,August,Food,3,1.59,4.77
District 10,August,Office supplies,9,1.11,9.9899998
District 10,August,Food,8,.61000001,4.8800001
District 10,August,Office supplies,16,.89999998,14.4
District 10,August,Office supplies,12,2.1400001,25.68
District 10,August,Food,1,2.5999999,2.5999999
District 10,August,Office supplies,14,.28999999,4.0599999
District 10,August,Office supplies,20,1.5599999,31.199999
District 10,September,Mentors,2,5,10
District 10,September,Office supplies,15,2.2,33
District 10,September,Office supplies,4,1.42,5.6799998
District 10,September,Office supplies,2,2.01,4.02
District 10,September,Office supplies,18,1.58,28.440001
District 10,September,Food,13,.93000001,12.09
District 10,September,Office supplies,6,2.0899999,12.539999
District 10,September,Food,20,1.77,35.400002
District 10,September,Food,13,2.5899999,33.669998
District 10,September,Food,11,2.74,30.139999
District 10,September,Food,3,.88999999,2.6700001
District 10,September,Office supplies,7,1.4,9.8000002
District 10,September,Food,13,2.51,32.630001
District 10,September,Food,8,.86000001,6.8800001
District 10,September,Office supplies,2,.60000002,1.2
District 10,September,Office supplies,10,1.39,13.9
District 10,September,Office supplies,12,.56999999,6.8400002
District 10,September,Food,9,1.87,16.83
District 10,October,Mentors,2,5,10
District 10,October,Office supplies,10,1.16,11.599999
District 10,October,Food,4,2.75,11
District 10,October,Office supplies,2,1.83,3.6600001
District 10,October,Food,1,.63999999,.63999999
District 10,October,Office supplies,7,2.79,19.529999
District 10,October,Office supplies,14,1.1799999,16.519999
District 10,October,Office supplies,19,1.95,37.049999
District 10,October,Office supplies,16,2.1099999,33.759998
District 10,October,Food,11,2.03,22.33
District 10,October,Food,8,1.02,8.1599998
District 10,October,Food,10,1.33,13.3
District 10,October,Food,9,1.87,16.83
District 10,October,Food,4,2.0899999,8.3599997
District 10,October,Food,20,.16,3.1999998
District 10,October,Food,12,1.2,14.400001
District 10,November,Mentors,2,5,10
District 10,November,Food,14,1.5700001,21.980001
District 10,November,Food,6,2.02,12.12
District 10,November,Food,13,.94999999,12.349999
District 10,November,Food,7,1.2,8.4000006
District 10,November,Food,2,1.41,2.8199999
District 10,November,Office supplies,20,1.45,29
District 10,November,Food,6,2.75,16.5
District 10,November,Food,4,2.27,9.0799999
District 10,November,Office supplies,1,2.98,2.98
District 10,November,Office supplies,7,1.79,12.53
District 10,November,Office supplies,12,.28999999,3.48
District 10,November,Food,16,.27000001,4.3200002
District 10,November,Office supplies,1,.41999999,.41999999
District 10,November,Food,13,2.3399999,30.419998
District 10,November,Food,10,2.4100001,24.1
District 10,November,Office supplies,8,2.6400001,21.120001
District 10,December,Mentors,2,5,10
District 10,December,Food,12,2.6700001,32.040001
District 10,December,Food,8,.5,4
District 10,December,Food,4,2.78,11.12
District 10,December,Food,15,1.51,22.65
District 10,December,Office supplies,7,1.38,9.6599998
District 10,December,Food,7,.11,.76999998
District 10,December,Office supplies,4,1.88,7.52
District 10,December,Food,16,2.4100001,38.560001
District 10,December,Office supplies,6,2.71,16.26
District 10,December,Office supplies,18,1.45,26.1
District 10,December,Office supplies,10,1.23,12.3
District 10,December,Office supplies,16,1.17,18.719999
District 10,December,Food,14,2.6700001,37.380001
District 10,December,Office supplies,14,2.9100001,40.740002
District 10,December,Office supplies,12,1.36,16.32
District 10,December,Food,19,.93000001,17.67
District 10,December,Office supplies,11,.89999998,9.8999996
District 10,December,Food,3,2.3199999,6.96
District 10,December,Office supplies,9,.49000001,4.4099998
District 10,December,Food,2,.28999999,.57999998
District 10,December,Food,17,2.1199999,36.039997
District 10,December,Office supplies,3,2.46,7.3800001
District 10,December,Office supplies,4,.88,3.52
District 10,December,Food,12,2.01,24.119999
District 11,January,Mentors,2,5,10
District 11,January,Food,6,1.45,8.7000008
District 11,January,Food,12,2.1600001,25.920002
District 11,January,Office supplies,20,.0099999998,.19999999
District 11,January,Office supplies,15,2.97,44.549999
District 11,January,Food,15,2.1199999,31.799999
District 11,January,Food,6,1.05,6.2999997
District 11,January,Food,9,.67000002,6.0300002
District 11,January,Food,9,2.8699999,25.829998
District 11,January,Food,13,2.54,33.02
District 11,January,Office supplies,16,1.08,17.280001
District 11,January,Office supplies,1,.97000003,.97000003
District 11,January,Office supplies,8,1.13,9.04
District 11,January,Office supplies,2,2.6500001,5.3000002
District 11,January,Food,13,.98000002,12.74
District 11,January,Office supplies,9,.28999999,2.6099999
District 11,January,Food,16,1.16,18.559999
District 11,January,Food,2,1.65,3.3
District 11,January,Food,17,1.26,21.42
District 11,January,Food,6,2.0999999,12.599999
District 11,January,Office supplies,12,2.47,29.639999
District 11,January,Food,20,.82999998,16.6
District 11,January,Food,19,1.5599999,29.639999
District 11,January,Food,1,1.46,1.46
District 11,February,Mentors,2,5,10
District 11,February,Office supplies,16,2.79,44.639999
District 11,February,Office supplies,3,.49000001,1.47
District 11,February,Office supplies,2,2.74,5.48
District 11,February,Office supplies,7,2.1300001,14.910001
District 11,February,Office supplies,4,.58999997,2.3599999
District 11,February,Office supplies,20,.20999999,4.1999998
District 11,February,Food,1,1.2,1.2
District 11,February,Food,3,1.9299999,5.79
District 11,February,Office supplies,17,.70999998,12.07
District 11,February,Office supplies,7,.86000001,6.02
District 11,February,Food,20,2.71,54.200001
District 11,February,Office supplies,14,1.12,15.68
District 11,February,Office supplies,11,.70999998,7.8099999
District 11,February,Food,7,1.2,8.4000006
District 11,February,Food,16,1.33,21.280001
District 11,March,Mentors,2,5,10
District 11,March,Food,2,1.6,3.2
District 11,March,Food,9,2.02,18.18
District 11,March,Food,10,2.0999999,21
District 11,March,Office supplies,11,1.9400001,21.34
District 11,March,Office supplies,6,2.1500001,12.900001
District 11,March,Food,17,1.01,17.17
District 11,March,Office supplies,19,2.6400001,50.160004
District 11,March,Office supplies,3,.31,.93000001
District 11,March,Office supplies,1,.94999999,.94999999
District 11,March,Food,9,1.58,14.22
District 11,March,Office supplies,15,.0099999998,.14999999
District 11,March,Food,4,.51999998,2.0799999
District 11,March,Office supplies,11,2.3299999,25.629999
District 11,March,Office supplies,4,.70999998,2.8399999
District 11,March,Office supplies,16,2.3599999,37.759998
District 11,March,Food,16,2.76,44.16
District 11,March,Office supplies,10,2.1700001,21.700001
District 11,March,Office supplies,15,1.22,18.300001
District 11,March,Food,2,2.46,4.9200001
District 11,March,Office supplies,18,2.3699999,42.659996
District 11,March,Food,11,1.92,21.119999
District 11,March,Office supplies,14,1.13,15.82
District 11,March,Office supplies,16,1.12,17.92
District 11,April,Mentors,2,5,10
District 11,April,Office supplies,10,.23999999,2.3999999
District 11,April,Food,7,1.37,9.5900002
District 11,April,Food,3,2.0599999,6.1799998
District 11,April,Food,20,2.24,44.799999
District 11,April,Food,10,.5,5
District 11,April,Office supplies,4,2.6800001,10.72
District 11,April,Food,18,2.29,41.220001
District 11,April,Food,14,.0099999998,.14
District 11,April,Food,19,.88,16.719999
District 11,April,Food,2,1.87,3.74
District 11,April,Office supplies,14,2.3900001,33.460003
District 11,April,Office supplies,20,2.54,50.799999
District 11,April,Office supplies,8,2.5999999,20.799999
District 11,April,Food,18,2.6900001,48.420002
District 11,April,Office supplies,17,.36000001,6.1200004
District 11,April,Food,11,2.52,27.719999
District 11,May,Mentors,2,5,10
District 11,May,Office supplies,16,2.3099999,36.959999
District 11,May,Food,18,.79000002,14.22
District 11,May,Food,4,2.9100001,11.64
District 11,May,Food,11,2.01,22.110001
District 11,May,Office supplies,16,.07,1.12
District 11,May,Office supplies,11,1.84,20.24
District 11,May,Office supplies,10,.83999997,8.3999996
District 11,May,Office supplies,11,.61000001,6.71
District 11,May,Office supplies,9,2.28,20.52
District 11,May,Office supplies,1,2.51,2.51
District 11,May,Food,6,1.48,8.8800001
District 11,May,Office supplies,5,.28999999,1.4499999
District 11,May,Office supplies,18,.62,11.16
District 11,May,Office supplies,14,1.27,17.779999
District 11,May,Office supplies,19,1.3,24.699999
District 11,May,Office supplies,17,.97000003,16.49
District 11,May,Food,18,2.8199999,50.759998
District 11,May,Food,14,2.9400001,41.16
District 11,May,Food,1,.52999997,.52999997
District 11,May,Office supplies,9,2.95,26.550001
District 11,May,Food,18,.050000001,.90000004
District 11,June,Mentors,2,5,10
District 11,June,Office supplies,1,2.3399999,2.3399999
District 11,June,Food,12,.72000003,8.6400003
District 11,June,Office supplies,14,.81,11.34
District 11,June,Office supplies,18,.60000002,10.8
District 11,June,Office supplies,17,2.5999999,44.199997
District 11,June,Food,8,1.7,13.6
District 11,June,Office supplies,19,2.0799999,39.519997
District 11,June,Office supplies,8,1.49,11.92
District 11,June,Office supplies,20,2.72,54.400002
District 11,June,Food,3,.40000001,1.2
District 11,June,Office supplies,3,.72000003,2.1600001
District 11,June,Food,12,2.9100001,34.920002
District 11,July,Mentors,2,5,10
District 11,July,Office supplies,8,1.4,11.2
District 11,July,Office supplies,3,.34999999,1.05
District 11,July,Office supplies,6,1.22,7.3200002
District 11,July,Office supplies,11,1.13,12.43
District 11,July,Office supplies,7,2.8,19.6
District 11,July,Office supplies,6,.27000001,1.6200001
District 11,July,Food,9,2.3399999,21.059999
District 11,July,Office supplies,7,.68000001,4.7600002
District 11,July,Office supplies,13,1.49,19.370001
District 11,July,Food,6,.25999999,1.5599999
District 11,July,Food,2,.31999999,.63999999
District 11,July,Food,19,2.0699999,39.329998
District 11,July,Food,14,.41,5.7399998
District 11,July,Food,6,2.1800001,13.08
District 11,July,Food,7,1.7,11.900001
District 11,July,Office supplies,1,2.8599999,2.8599999
District 11,July,Office supplies,12,2.76,33.119999
District 11,July,Office supplies,18,2.8599999,51.48
District 11,July,Office supplies,6,2.8499999,17.099998
District 11,July,Food,3,.34999999,1.05
District 11,July,Food,14,2.9000001,40.600002
District 11,July,Office supplies,5,1.03,5.1499996
District 11,July,Food,13,1.39,18.07
District 11,July,Office supplies,3,2.29,6.8699999
District 11,July,Food,4,2.3900001,9.5600004
District 11,July,Food,9,2.8399999,25.559999
District 11,July,Food,14,2.1700001,30.380001
District 11,August,Mentors,2,5,10
District 11,August,Office supplies,9,2.53,22.77
District 11,August,Food,1,2.1700001,2.1700001
District 11,August,Office supplies,19,.76999998,14.629999
District 11,August,Food,19,.63999999,12.16
District 11,August,Food,13,.41,5.3299999
District 11,August,Office supplies,1,2.8299999,2.8299999
District 11,August,Office supplies,8,.33000001,2.6400001
District 11,August,Food,10,1.12,11.2
District 11,August,Food,19,.70999998,13.49
District 11,August,Food,8,.69,5.52
District 11,August,Food,1,1.23,1.23
District 11,August,Food,5,.70999998,3.55
District 11,August,Food,9,2.3199999,20.879999
District 11,August,Office supplies,16,2.05,32.799999
District 11,August,Food,18,2.26,40.68
District 11,August,Office supplies,8,0,0
District 11,September,Mentors,2,5,10
District 11,September,Food,9,2.55,22.949999
District 11,September,Office supplies,13,2.1900001,28.470001
District 11,September,Food,4,2.6300001,10.52
District 11,September,Food,15,1.74,26.1
District 11,September,Food,11,1.2,13.200001
District 11,September,Office supplies,2,1.4,2.8
District 11,September,Office supplies,8,2.75,22
District 11,September,Office supplies,1,2,2
District 11,September,Office supplies,13,1.01,13.13
